name,ingredients,meal_type,diet,cooking_time,steps,image_url
Chicken Alfredo,"milk, tomato, garlic, lemon, bell pepper",lunch,none,17,"To prepare Chicken Alfredo, start by gathering all the ingredients: milk, tomato, garlic, lemon, bell pepper. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade chicken alfredo!",https://source.unsplash.com/featured/?Chicken%20Alfredo
Stuffed Peppers,"chicken, tofu, olive oil, tomato, pepper",breakfast,vegetarian,29,"To prepare Stuffed Peppers, start by gathering all the ingredients: chicken, tofu, olive oil, tomato, pepper. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade stuffed peppers!",https://source.unsplash.com/featured/?Stuffed%20Peppers
Baked Potatoes,"basil, tofu, butter, cheese, chicken",lunch,gluten-free,22,"To prepare Baked Potatoes, start by gathering all the ingredients: basil, tofu, butter, cheese, chicken. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade baked potatoes!",https://source.unsplash.com/featured/?Baked%20Potatoes
Omelette,"lemon, basil, bell pepper, flour, pasta",dinner,vegetarian,45,"To prepare Omelette, start by gathering all the ingredients: lemon, basil, bell pepper, flour, pasta. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade omelette!",https://source.unsplash.com/featured/?Omelette
Tuna Salad,"flour, tofu, basil, pasta, chicken",lunch,vegan,40,"To prepare Tuna Salad, start by gathering all the ingredients: flour, tofu, basil, pasta, chicken. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade tuna salad!",https://source.unsplash.com/featured/?Tuna%20Salad
Clam Chowder,"chicken, beef, carrot, salt, basil",breakfast,none,59,"To prepare Clam Chowder, start by gathering all the ingredients: chicken, beef, carrot, salt, basil. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade clam chowder!",https://source.unsplash.com/featured/?Clam%20Chowder
Falafel Wrap,"pepper, flour, butter, cheese, tofu",breakfast,vegetarian,45,"To prepare Falafel Wrap, start by gathering all the ingredients: pepper, flour, butter, cheese, tofu. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade falafel wrap!",https://source.unsplash.com/featured/?Falafel%20Wrap
Pesto Pasta,"olive oil, pasta, onion, butter, cheese",breakfast,vegan,48,"To prepare Pesto Pasta, start by gathering all the ingredients: olive oil, pasta, onion, butter, cheese. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade pesto pasta!",https://source.unsplash.com/featured/?Pesto%20Pasta
Pumpkin Soup,"pepper, milk, salt, pasta, carrot",dinner,vegan,11,"To prepare Pumpkin Soup, start by gathering all the ingredients: pepper, milk, salt, pasta, carrot. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade pumpkin soup!",https://source.unsplash.com/featured/?Pumpkin%20Soup
Fish Tacos,"pepper, carrot, milk, cheese, beef",breakfast,vegan,13,"To prepare Fish Tacos, start by gathering all the ingredients: pepper, carrot, milk, cheese, beef. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade fish tacos!",https://source.unsplash.com/featured/?Fish%20Tacos
Cobb Salad,"tomato, pepper, pasta, lemon, chicken",breakfast,gluten-free,29,"To prepare Cobb Salad, start by gathering all the ingredients: tomato, pepper, pasta, lemon, chicken. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade cobb salad!",https://source.unsplash.com/featured/?Cobb%20Salad
Gnocchi with Pesto,"basil, garlic, cheese, lemon, carrot",breakfast,vegetarian,37,"To prepare Gnocchi with Pesto, start by gathering all the ingredients: basil, garlic, cheese, lemon, carrot. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade gnocchi with pesto!",https://source.unsplash.com/featured/?Gnocchi%20with%20Pesto
Lentil Soup,"butter, cheese, basil, olive oil, eggs",lunch,vegetarian,36,"To prepare Lentil Soup, start by gathering all the ingredients: butter, cheese, basil, olive oil, eggs. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade lentil soup!",https://source.unsplash.com/featured/?Lentil%20Soup
Crispy Tofu Bowl,"beef, butter, lemon, onion, pasta",lunch,vegan,46,"To prepare Crispy Tofu Bowl, start by gathering all the ingredients: beef, butter, lemon, onion, pasta. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade crispy tofu bowl!",https://source.unsplash.com/featured/?Crispy%20Tofu%20Bowl
Mango Chicken,"basil, milk, lemon, flour, onion",dinner,none,30,"To prepare Mango Chicken, start by gathering all the ingredients: basil, milk, lemon, flour, onion. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade mango chicken!",https://source.unsplash.com/featured/?Mango%20Chicken
Spinach Quiche,"beef, butter, tomato, onion, flour",dinner,vegetarian,24,"To prepare Spinach Quiche, start by gathering all the ingredients: beef, butter, tomato, onion, flour. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade spinach quiche!",https://source.unsplash.com/featured/?Spinach%20Quiche
Turkey Sandwich,"rice, carrot, tofu, cheese, pepper",lunch,vegan,37,"To prepare Turkey Sandwich, start by gathering all the ingredients: rice, carrot, tofu, cheese, pepper. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade turkey sandwich!",https://source.unsplash.com/featured/?Turkey%20Sandwich
Ramen,"tomato, bell pepper, carrot, milk, basil",breakfast,vegetarian,50,"To prepare Ramen, start by gathering all the ingredients: tomato, bell pepper, carrot, milk, basil. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade ramen!",https://source.unsplash.com/featured/?Ramen
Curry Udon,"rice, basil, onion, tomato, butter",breakfast,none,28,"To prepare Curry Udon, start by gathering all the ingredients: rice, basil, onion, tomato, butter. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade curry udon!",https://source.unsplash.com/featured/?Curry%20Udon
Chocolate Muffins,"milk, pepper, chicken, onion, butter",lunch,vegetarian,14,"To prepare Chocolate Muffins, start by gathering all the ingredients: milk, pepper, chicken, onion, butter. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade chocolate muffins!",https://source.unsplash.com/featured/?Chocolate%20Muffins
Garlic Bread,"flour, pasta, salt, lemon, bell pepper",dinner,vegan,34,"To prepare Garlic Bread, start by gathering all the ingredients: flour, pasta, salt, lemon, bell pepper. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade garlic bread!",https://source.unsplash.com/featured/?Garlic%20Bread
Coconut Rice,"tofu, rice, pasta, salt, flour",dinner,none,26,"To prepare Coconut Rice, start by gathering all the ingredients: tofu, rice, pasta, salt, flour. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade coconut rice!",https://source.unsplash.com/featured/?Coconut%20Rice
